genres,count, percent
Sci-Fi,3368,0.0113408692197
Crime,16524,0.0556402977988
Romance,21384,0.0720050912691
Animation,1975,0.0066503018732
Music,3336,0.0112331174932
Adult,5867,0.0197556056152
Comedy,46684,0.157196300075
War,4907,0.0165230538186
Horror,7533,0.0253654298789
Film-Noir,767,0.00258267419582
Western,5931,0.0199711090683
News,19,6.39775876409e-05
Reality-TV,8,2.69379316383e-05
Thriller,10234,0.0344603490482
Adventure,11364,0.0382653318922
Mystery,5734,0.0193077625017
Short,1,3.36724145478e-06
Talk-Show,4,1.34689658191e-05
Drama,85553,0.288077608181
Action,18929,0.0637385134976
Documentary,22755,0.0766215793036
Musical,6105,0.0205570090815
History,3301,0.0111152640422
Family,5587,0.0188127780079
Fantasy,4665,0.0157081813866
Sport,1494,0.00503065873345
Biography,2950,0.00993336229161